39.61657,-107.13186
39.61644,-107.13208
39.61633,-107.1323
39.61609,-107.13283
39.61591,-107.13334
39.61587,-107.13349
39.61583,-107.13361
39.6158,-107.13374
39.61576,-107.13387
39.6157,-107.13414
39.6157,-107.13416
39.61567,-107.1343
39.61559,-107.13483
39.61557,-107.13501
39.61553,-107.13585
39.61553,-107.13684
39.61548,-107.1375
39.61545,-107.13769
39.61536,-107.13811
39.61522,-107.13854
39.61522,-107.13855
39.61518,-107.13862
39.61502,-107.13898
39.61489,-107.13921
39.61483,-107.13933
39.61391,-107.14093
39.61299,-107.14231
39.61276,-107.14263
39.61268,-107.14273
39.61266,-107.14275
39.61251,-107.14296
39.61235,-107.14316
39.61228,-107.14326
39.61196,-107.14365
39.61195,-107.14367
39.61171,-107.14396
39.6117,-107.14398
39.61164,-107.14405
39.61141,-107.14435
39.61119,-107.14467
39.61099,-107.145
39.6108,-107.14536
39.61063,-107.14572
39.61059,-107.14583
39.61053,-107.14596
39.61048,-107.14609
39.61044,-107.14622
39.61039,-107.14635
39.61027,-107.14673
39.61013,-107.14727
39.61007,-107.14755
39.61005,-107.14768
39.61005,-107.14769
39.61002,-107.14783
39.60998,-107.1481
39.60997,-107.14813
39.60993,-107.14838
39.6099,-107.14852
39.60984,-107.14892
39.60981,-107.14906
39.60965,-107.15004
39.60962,-107.15017
39.60958,-107.15045
39.60939,-107.15154
39.60936,-107.15168
39.60932,-107.15182
39.6093,-107.15193
39.60929,-107.15195
39.60928,-107.152
39.60925,-107.15209
39.60924,-107.15215
39.60918,-107.15235
39.60913,-107.15248
39.60896,-107.153
39.60868,-107.15377
39.60852,-107.15413
39.60836,-107.15445
39.60819,-107.15469
39.60803,-107.15489
39.60785,-107.15507
39.60782,-107.15509
39.60777,-107.15514
39.60766,-107.15521
39.60758,-107.15528
39.60747,-107.15534
39.60738,-107.1554
39.60727,-107.15544
39.60696,-107.15557
39.60685,-107.15559
39.60674,-107.15563
39.60631,-107.15575
39.6062,-107.15577
39.60599,-107.15583
39.60587,-107.15585
39.60566,-107.15591
39.60556,-107.15595
39.60547,-107.15597
39.60525,-107.15605
