truck,ID,GroupCount,mean_engine_power,mean_fuel_rate,mean_v,mean_mass_eff,mean_ego_m,mean_engine_rpm,mean_drag_reduction_ratio,mean_P_AD,mean_E_AD,mean_E_AD_true,mean_P_AD_true,std_v,mean_NPC,mean_NFC
L,9242,1853,78283.4594185602,0.00555200635365505,19.9780093545602,17401.6266592212,17000,1480.98676025022,1,5923.5931654047,1.22545643651978,0.948033639565634,4582.59096002888,0.130927606902089,1.06107872759387,1.08521324537758
L,9243,1755,87012.2959084103,0.00617290147920883,21.0837640438746,17401.6266592212,17000,1563.12401131541,1,6058.07196227464,1.25327703503119,0.892303979280093,4313.20575388049,0.141036335927546,1.05195582435144,1.06414327074528
L,9244,1668,96607.894381163,0.00686240760529197,22.1877092523981,17401.6266592212,17000,1645.15395960689,1,6253.80834782711,1.29377043267661,0.859446284024168,4154.37871340102,0.15148159792902,1.04336759915376,1.05549241625381
L,9245,1589,107119.082646482,0.00761843617010195,23.2914262567653,17401.6266592212,17000,1727.19791558019,1,6571.36459723302,1.35946558406957,0.84457319492393,4082.48539568111,0.167824287131571,1.03860108508137,1.05358245500203
L,9246,1518,118800.162482387,0.00798381691888695,24.3912402747036,17355.2744616186,17000,1230.59789086936,1,8037.84297182679,1.66728764575686,0.903324195499439,4354.84426130935,0.195093980910117,1.0373878069991,1.0491935933416
L,9247,1453,131366.559580557,0.00882787591309945,25.4942867653131,17355.2744616186,17000,1286.41984427588,1,8610.62077354777,1.78609879396173,0.949254253236851,4576.26891632901,0.209183475176795,1.03501049401468,1.04936041192226
L,9248,1392,145280.970213685,0.00975145385529914,26.5914363943966,17355.2744616186,17000,1341.96990065934,1,9215.27414891674,1.91152188399365,1.08101819033805,5211.49094203312,0.228559820818706,1.03530399694992,1.05145703002703
L,9249,1338,160362.975202679,0.0107451200651572,27.6817167182362,17355.2744616186,17000,1397.20059408639,1,11298.5446618688,2.34365413653816,1.26466819600953,6096.85101239601,0.254589354661098,1.03819686535047,1.0530623011087
L,9250,1286,175993.141221922,0.0117860754179068,28.7666225287714,17355.2744616186,17000,1452.18164312717,1,12490.5685541342,2.59091533783151,1.36831402690518,6596.51819072834,0.287209628551764,1.03774833745245,1.05119113122138
L,9251,1240,191642.523224677,0.0128425142897032,29.8441708395161,17355.2744616186,17000,1506.8075193954,1,13836.043784594,2.87000690969729,1.29592390772927,6247.53197222635,0.319813800513134,1.03425693218971,1.04350783804668
