gps_time,time,v,mass_eff,engine_power,grade_estimate
1.2449e+09 sec,887.298733234406,29.0646210928594,30822.6692211084,90192.9663413881,-0.17224875089968
1.2449e+09 sec,887.450140237808,29.0678874164279,30822.6692211084,92192.6535358952,-0.0520139318607282
1.2449e+09 sec,887.494471311569,29.0651019854933,30822.6692211084,90761.0253003471,0.00499947713982054
1.2449e+09 sec,887.599346399307,29.057105032973,30822.6692211084,84541.5955375355,-0.0297349644585511
1.2449e+09 sec,887.699185371399,29.0590182318119,30822.6692211084,76947.2200530106,0.0256419995908574
1.2449e+09 sec,887.799326181412,29.0755208333333,30822.6692211084,75005.9131470955,0.140703934921116
1.2449e+09 sec,887.981179237366,29.0992306697745,30822.6692211084,84371.834385336,0.111810649948943
1.2449e+09 sec,888.030843257904,29.0846702912687,30822.6692211084,85525.9761314963,0.192166097011984
1.2449e+09 sec,888.099374294281,29.0671276972656,30822.6692211084,86774.2087684401,0.170908615301513
1.2449e+09 sec,888.199420213699,29.0471631669139,30822.6692211084,87814.0273335828,0.208278909705154
1.2449e+09 sec,888.299238204956,29.0219750599538,30822.6692211084,90353.6319750315,0.0992952972623977
1.2449e+09 sec,888.450676202774,29.0113037678087,30822.6692211084,92645.4768126629,0.0916950866312794
1.2449e+09 sec,888.492583274841,29.0162741775426,30822.6692211084,93027.2779810745,0.0976120703676792
1.2449e+09 sec,888.598913192749,29.0244886541503,30822.6692211084,95481.061319855,0.0794789861500948
1.2449e+09 sec,888.699274301529,29.0228450491984,30822.6692211084,95644.4509442749,0.0203055891026673
1.2449e+09 sec,888.799391269684,29.0006102806322,30822.6692211084,94686.0436943353,-0.0688521429757648
1.2449e+09 sec,888.981370210648,29.0152725797567,30822.6692211084,95338.2220091488,-0.107483941767727
1.2449e+09 sec,889.078455209732,29.0235375219099,30822.6692211084,95820.7689642894,-0.136177299173272
1.2449e+09 sec,889.128559350967,29.025768686798,30822.6692211084,95422.2706708957,-0.0331816588336857
1.2449e+09 sec,889.199206352234,29.0310235667152,30822.6692211084,101815.341724697,-0.00141546368576527
1.2449e+09 sec,889.299161195755,29.0438663389114,30822.6692211084,100528.684366948,0.0127168736541423
1.2449e+09 sec,889.449905395508,29.0538194444444,30822.6692211084,100390.596169888,-0.020201061849187
1.2449e+09 sec,889.492458343506,29.0503535563403,30822.6692211084,100427.175839772,-0.0917379659134638
1.2449e+09 sec,889.599125385284,29.0321180555556,30822.6692211084,105517.175135567,-0.063334090027206
1.2449e+09 sec,889.699215173721,29.0321180555556,30822.6692211084,102806.325642969,-0.089869005149421
1.2449e+09 sec,889.798844337463,29.0300345890233,30822.6692211084,98473.3058685066,-0.0397699581478486
1.2449e+09 sec,889.974192380905,29.014772900545,30822.6692211084,99602.2306321652,-0.0735546193633131
1.2449e+09 sec,890.000369310379,29.008106537838,30822.6692211084,100467.341447044,-0.0766972911454094
1.2449e+09 sec,890.099449396133,28.9856143219248,30822.6692211084,100268.289315201,-0.0475107457978979
1.2449e+09 sec,890.199621200562,28.9756944444444,30822.6692211084,99022.1046721851,-0.104555592621768
1.2449e+09 sec,890.298767328262,28.980590432959,30822.6692211084,98862.4316025908,-0.141949686403445
1.2449e+09 sec,890.450446367264,28.9911817289899,30822.6692211084,103888.733269393,-0.0350079815977777
1.2449e+09 sec,890.492705345154,28.9909171397151,30822.6692211084,104217.649732196,-0.00481648319126715
1.2449e+09 sec,890.599493265152,29.0039164164761,30822.6692211084,97860.8598764557,0.0277607889348236
1.2449e+09 sec,890.69947719574,28.9963210262411,30822.6692211084,98194.8489894441,-0.134760125638567
1.2449e+09 sec,890.799383401871,28.9941142545853,30822.6692211084,98899.9307566228,0.0111533590395622
1.2449e+09 sec,890.981574296951,28.9858842412484,30822.6692211084,99527.4055959963,-0.0598305804260612
1.2449e+09 sec,891.031314373016,28.9959547797069,30822.6692211084,97640.1701533492,-0.0692445074564616
1.2449e+09 sec,891.099189281464,29.0052444928873,30822.6692211084,97890.6612538565,-0.0493393133385052
1.2449e+09 sec,891.199244260788,29.0058008654882,30822.6692211084,98238.5915222023,-0.0230716783005385
1.2449e+09 sec,891.298995256424,29.0164516935493,30822.6692211084,99188.2340198285,-0.0373317647460336
1.2449e+09 sec,891.449585199356,28.9734181836456,30822.6692211084,96217.562194669,0.0697100589239478
1.2449e+09 sec,891.492516279221,28.9626736111111,30822.6692211084,98011.3605831578,0.014890252598323
1.2449e+09 sec,891.599015235901,28.9573063486499,30822.6692211084,100596.797913382,0.0297830301653202
1.2449e+09 sec,891.699259281158,28.9346085005179,30822.6692211084,103560.007762471,0.0317546145509026
1.2449e+09 sec,891.799391269684,28.9203628651033,30822.6692211084,104363.968554214,-0.00176688562107236
1.2449e+09 sec,891.981226205826,28.9288733663329,30822.6692211084,110558.666047384,0.0767010528399571
1.2449e+09 sec,892.031396389008,28.9353540020533,30822.6692211084,103704.899222238,-0.00458219632718679
